ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,NumrOfKptsInROI,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime
Evaluate detector SHITOMASI and descriptor BRISK
0,SHITOMASI,1370,18.2727,125,BRISK,1.7481
1,SHITOMASI,1301,16.8958,118,BRISK,2.46792,BF,KNN,84,0.608778
2,SHITOMASI,1361,17.2572,123,BRISK,2.36876,BF,KNN,80,0.573226
3,SHITOMASI,1358,16.6129,120,BRISK,2.13958,BF,KNN,73,0.567135
4,SHITOMASI,1333,15.9986,120,BRISK,2.27184,BF,KNN,77,0.524395
5,SHITOMASI,1284,16.0335,113,BRISK,2.29482,BF,KNN,74,0.511035
6,SHITOMASI,1322,16.3389,114,BRISK,2.11295,BF,KNN,70,0.554852
7,SHITOMASI,1366,16.0941,123,BRISK,2.24865,BF,KNN,79,0.528268
8,SHITOMASI,1389,17.3487,111,BRISK,2.06507,BF,KNN,81,0.60805
9,SHITOMASI,1339,15.24,112,BRISK,2.1041,BF,KNN,72,0.515822
Evaluate detector SHITOMASI and descriptor BRIEF
0,SHITOMASI,1370,15.7269,125,BRIEF,1.43218
1,SHITOMASI,1301,16.387,118,BRIEF,1.21166,BF,KNN,96,0.451599
2,SHITOMASI,1361,15.4692,123,BRIEF,1.21331,BF,KNN,93,0.339554
3,SHITOMASI,1358,13.7471,120,BRIEF,1.41373,BF,KNN,92,0.341854
4,SHITOMASI,1333,13.7101,120,BRIEF,1.19377,BF,KNN,89,0.381616
5,SHITOMASI,1284,14.3122,113,BRIEF,1.25054,BF,KNN,92,0.29946
6,SHITOMASI,1322,14.2302,114,BRIEF,1.22953,BF,KNN,93,0.274884
7,SHITOMASI,1366,13.8527,123,BRIEF,1.48138,BF,KNN,85,0.348716
8,SHITOMASI,1389,15.0911,111,BRIEF,1.11683,BF,KNN,91,0.319168
9,SHITOMASI,1339,14.5104,112,BRIEF,1.1348,BF,KNN,85,0.288591
Evaluate detector SHITOMASI and descriptor ORB
0,SHITOMASI,1370,14.0786,125,ORB,1.1736
1,SHITOMASI,1301,15.5372,118,ORB,0.807316,BF,KNN,86,0.382626
2,SHITOMASI,1361,14.7546,123,ORB,0.985581,BF,KNN,84,0.364823
3,SHITOMASI,1358,14.9162,120,ORB,0.992293,BF,KNN,87,0.301496
4,SHITOMASI,1333,14.8108,120,ORB,1.13948,BF,KNN,91,0.398455
5,SHITOMASI,1284,14.733,113,ORB,1.04035,BF,KNN,87,0.304567
6,SHITOMASI,1322,14.5626,114,ORB,0.863304,BF,KNN,76,0.270829
7,SHITOMASI,1366,14.6372,123,ORB,0.85407,BF,KNN,81,0.29417
8,SHITOMASI,1389,14.5133,111,ORB,0.973347,BF,KNN,88,0.314478
9,SHITOMASI,1339,14.8206,112,ORB,1.04026,BF,KNN,88,0.306798
Evaluate detector SHITOMASI and descriptor FREAK
0,SHITOMASI,1370,14.8287,125,FREAK,41.9498
1,SHITOMASI,1301,14.381,118,FREAK,39.4187,BF,KNN,66,0.576331
